投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
571021,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 5座,奇瑞瑞虎8仪表台中央下方出现异响,车身附件及电器中控台异响,2021-02-07,信息审核
571018,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾发动机异响希望厂家处理问题,发动机异响,2021-02-07,信息审核
571015,长安福特,锐际,2020款 EcoBoost 245 两驱 耀享款,长安福特锐际倍耐力轮胎开裂存在质量问题,轮胎开裂,2021-02-07,厂家受理
571014,吉利汽车,远景X6,2018款 1.4T CVT 4G互联豪华型,吉利远景X6底盘多处生锈售后未解决问题,车身附件及电器车身生锈,2021-02-07,信息审核
571013,东风日产,启辰D60,2019款 十万荣耀 1.6L XL CVT 辰酷版 国V,启辰D60发动机异响 厂家拒绝三包索赔,发动机异响,2021-02-07,信息审核
571012,上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路舒适版,大众途观变速箱机电控制单元故障,变速器电脑板故障,2021-02-07,信息审核
571011,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS起步顿挫异响 中控异响,变速器顿挫车身附件及电器中控台异响其他疑似设计缺陷,2021-02-07,信息审核
571010,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 豪华导航版,JEEP进口指南者车内异味较重,车身附件及电器车内异味,2021-02-07,厂家受理
571008,宝沃汽车,宝沃BX7,2016款 28T 两驱 精英版 5座,宝沃BX7发动机熄火多次维修未解决问题,发动机熄火人员技术多次返修,2021-02-07,厂家受理
571007,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 舒适型 国V,一汽大众探歌韩泰轮胎老化开裂严重,轮胎开裂,2021-02-07,信息审核
571006,长安汽车,长安CS55 PLUS,2021款 蓝鲸版 1.5T DCT 豪华型,长安CS55 PLUS变速箱无法挂挡存在质量问题,变速器无法换挡变速器无法加速,2021-02-07,信息审核
571003,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲克菲亚特菲翔4S店检测收费不合理,服务收费变相收费,2021-02-07,厂家受理
571002,奔驰（进口）,奔驰GLE,2021款 GLE 450 4MATIC 时尚型,奔驰GLE起动机发电机问题导致车辆熄火,发动机熄火,2021-02-07,信息审核
570999,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机油耗高 变速箱顿挫异响,发动机油耗高变速器异响变速器顿挫车身附件及电器车身异响,2021-02-07,信息审核
570998,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动起步时变速箱顿挫而且有异响,变速器异响变速器顿挫,2021-02-07,信息审核
570989,上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能尊贵型,新宝骏RS-5刹车失灵 仪表盘上制动故障灯亮,制动系统刹车失灵制动系统故障灯亮车身附件及电器雨刮器故障,2021-02-07,信息审核
570988,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞电瓶亏电导致发动机无法启动,车身附件及电器电瓶故障,2021-02-07,信息审核
570986,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾侧标掉漆 刹车异响 减震异响,制动系统异响前后桥及悬挂系统减震器异响车身附件及电器漆面起泡开裂,2021-02-07,信息审核
570984,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL 4S店修出新问题服务承诺不兑现,人员技术修出新问题承诺不兑现服务承诺不兑现配件争议使用旧件,2021-02-07,信息审核
570982,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁方向盘卡顿 升级程序后变重,转向系统卡滞转向系统打方向沉重服务流程不完善系统升级问题,2021-02-07,信息审核
570977,众泰汽车,众泰T600,2015款 1.5T 手动 旗舰型,众泰T600胎压传感器故障报警 押金不予退还	,车身附件及电器胎压监测故障服务收费定（订）金纠纷,2021-02-07,信息审核
570976,北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,北京现代索纳塔天窗异响维修未解决问题,车身附件及电器天窗异响,2021-02-07,信息审核
570974,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L四个轮毂有氧化的现象,车身附件及电器轮毂问题,2021-02-07,信息审核
570972,一汽丰田,卡罗拉,2009款 1.6 手动 GL 天窗特别版,丰田卡罗拉4S店维修时使用非原厂件,配件争议使用非原厂件,2021-02-07,信息审核
570969,郑州日产,途达,2018款 2.5L 自动 四驱 豪华版,郑州日产途达加速行驶时车身共振有异响,车身附件及电器车身异响车身附件及电器车身共振,2021-02-07,信息审核
570967,江淮汽车,瑞风M3,2019款 创客版 1.8L 豪华型,江淮瑞风M3店内人员操作导致发动机故障,人员技术操作不规范人员技术粗心大意,2021-02-07,用户评分
570965,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁中控台塑料件开裂 油箱异响,制动系统异响车身附件及电器部件开裂车身附件及电器车内异响车身附件及电器汽油箱异响,2021-02-07,信息审核
570963,华晨宝马,宝马5系,2018款 530Li 领先型 豪华套装 改款,华晨宝马5系前大灯开裂希望厂家质保,车身附件及电器灯罩裂纹或变形,2021-02-07,厂家受理
570959,东风日产,启辰T70,2016款 2.0L CVT 睿趣版,启辰T70高速时转向卡顿希望厂家处理问题,转向系统卡滞,2021-02-07,信息审核
570954,东风标致,标致3008,2014款 1.6THP 自动逐乐版,东风标致3008发动机有烧机油现象,发动机烧机油,2021-02-07,信息审核
570952,上汽大众,途昂,2019款 530 V6 四驱 旗舰版 国VI,上汽大众途昂底盘平衡杆异响维修无配件,配件争议无零配件,2021-02-07,处理反馈
570951,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S介绍新客户赠送奖励金承诺未兑现,承诺不兑现服务承诺不兑现,2021-02-07,信息审核
570946,一汽-大众奥迪,奥迪A4L,2015款 2.0T CVT 自动 豪华型,一汽大众奥迪A4L节温器和水泵漏防冻液,发动机漏防冻液,2021-02-07,信息审核
570944,上汽大众,途铠,2019款 1.5L 自动 舒适版,上汽大众途铠电瓶长期低电量报警,车身附件及电器电瓶故障,2021-02-07,用户评分
570943,奥迪（进口）,奥迪A5,2019款 Sportback 40 TFSI 时尚型,进口奥迪A5大灯有维修痕迹4S店销售问题车,销售欺诈出售问题车,2021-02-07,信息审核
570939,北京奔驰,奔驰GLB,2020款 改款 GLB 200 时尚型,北京奔驰GLB未安装碳罐电磁阀阻尼器,其他疑似设计缺陷,2021-02-07,信息审核
570938,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲驰版,雪铁龙C4L发动机正时链条异响 动力消失,发动机动力消失发动机正时链条及齿轮故障,2021-02-07,信息审核
570936,丰田（进口）,埃尔法,2019款 2.5L 双擎 豪华版,丰田埃尔法行驶时副驾驶座椅异响,车身附件及电器车内异响,2021-02-07,信息审核
570932,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8水泵损坏防冻液渗漏导致高温,发动机冷却系统故障发动机水泵故障,2021-02-07,信息审核
570928,上汽通用五菱,新宝骏RC-5,2020款 1.5T CVT 智耀旗舰型,新宝骏RC-5方向盘异响 中央扶手箱翘起,转向系统异响车身附件及电器部件开裂车身附件及电器车身不平整,2021-02-07,信息审核
570927,上汽大众,帕萨特新能源,2020款 430PHEV 混动豪华版 国VI,上汽大众帕萨特新能源发动机异响故障灯亮,发动机异响发动机故障灯亮变速器顿挫,2021-02-07,用户评分
570922,奇瑞汽车,瑞虎3x,2020款 质享版 1.5L CVT 豪华版,奇瑞瑞虎3x变速器故障灯亮 发动机熄火,发动机故障灯亮发动机熄火变速器故障灯亮,2021-02-07,信息审核
570921,福田汽车,祥菱V,2018款 1.2L 半承载 3070轴距(厢车)4W12M1,福田祥菱V车厢无法锁止 手续不齐全,车身附件及电器车门故障服务流程不完善手续不齐,2021-02-07,信息审核
570920,东风日产,蓝鸟,2020款 1.6L CVT 智联智酷版,东风日产蓝鸟普利司通轮胎鼓包质量差,轮胎鼓包,2021-02-07,信息审核
570919,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱顿挫 油泵和后视镜异响,变速器顿挫车身附件及电器汽油泵故障车身附件及电器后视镜故障,2021-02-07,处理反馈
570916,中兴汽车,领主,2019款 2.5T 手动 四驱 乘用版 超豪华型 标双 柴油,中兴领主冬季时发动机启动困难希望厂家处理,发动机无法启动,2021-02-07,信息审核
570915,广汽三菱,奕歌,2019款 1.5T CVT 两驱 信念版 国VI,广汽三菱奕歌行驶时天窗异响影响正常驾驶,车身附件及电器天窗异响,2021-02-07,厂家受理
570913,一汽红旗,红旗H5,2020款 1.8T 自动 智联旗领版,红旗H5中控显示屏花屏黑屏 中控台异响,车身附件及电器影音系统故障车身附件及电器中控台异响,2021-02-07,信息审核
570911,长安福特,福睿斯,2015款 1.5L 手动 时尚型,长安福特福睿斯主驾驶侧车窗升降失灵,车身附件及电器车窗升降故障,2021-02-07,处理反馈
570906,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾车钥匙亏电导致无法使用,车身附件及电器车钥匙故障,2021-02-07,处理反馈
570904,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客优科豪马轮胎鼓包起皮	,轮胎起皮轮胎鼓包,2021-02-07,信息审核
570903,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾副驾驶侧B柱出现异响,车身附件及电器车身异响,2021-02-07,处理反馈
570901,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5车速慢时刹车有异响现象,制动系统异响,2021-02-07,信息审核
570900,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,现代领动变速箱异响 方向盘有异响,变速器异响转向系统异响,2021-02-07,信息审核
570899,一汽丰田,威驰,2017款 1.5L CVT 创行版,一汽丰田威驰变速箱有拖挡异响现象,变速器异响变速器拖挡,2021-02-07,信息审核
570896,东风本田,本田CR-V,2021款 240TURBO CVT 两驱 风尚版,东风本田CR-V加速时变速箱有异响,变速器异响,2021-02-07,信息审核
570895,东风标致,标致408,2020款 360THP 十周年纪念版,标致408发动机敲缸 佳通轮胎鼓包,发动机冷却系统故障发动机无法提速轮胎鼓包车身附件及电器传感器故障,2021-02-07,信息审核
570894,一汽-大众,速腾,2014款 1.4TSI 手动 豪华型 改款,一汽大众速腾车身稳定和ABS故障灯亮,制动系统ABS故障车身附件及电器行车安全辅助系统故障,2021-02-07,信息审核
570893,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田致享涨紧轮问题要求更换,发动机正时链条及齿轮故障,2021-02-07,信息审核
570891,一汽奔腾,奔腾B30,2016款 1.6L 手动 豪华型,奔腾B30发动机抖动 多缸失火 方向盘卡滞,发动机抖动转向系统卡滞,2021-02-07,信息审核
570889,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,大众探岳油耗高 颗粒捕捉器堵塞,发动机油耗高发动机动力消失发动机排气故障,2021-02-07,信息审核
570887,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动加速时异响 起步抖动,发动机抖动离合器异响,2021-02-07,信息审核
570885,奇瑞汽车,艾瑞泽GX,2018款 1.5T 手动 型色版,奇瑞艾瑞泽GX方向盘不正多次维修未解决,转向系统方向盘不正人员技术多次返修,2021-02-07,信息审核
570883,一汽-大众奥迪,奥迪A4L,2015款 quattro 2.0T 双离合 个性运动型,一汽大众奥迪A4L变速箱变矩器异响严重,变速器异响,2021-02-07,信息审核
570882,江淮汽车,瑞风S2,2015款 1.5L CVT 豪华智能型,江淮瑞风S2变速箱起步冲击打滑无法行驶,变速器顿挫变速器跳挡,2021-02-06,用户评分
570877,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯亮 车窗按键故障,发动机故障灯亮车身附件及电器车窗升降故障,2021-02-06,处理反馈
570873,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500电子手刹故障无法质保维修,制动系统手刹故障,2021-02-06,信息审核
570869,北京现代,索纳塔,2020款 380TGDi GLS 自动 豪华版,北京现代索纳塔车机系统无法连网要求处理,车身附件及电器车载互联故障,2021-02-06,信息审核
570867,广汽本田,雅阁,2015款 2.0L LXS 精英版,广汽本田雅阁变速箱渗油要求厂家尽快解决,变速器漏油,2021-02-06,处理反馈
570864,北汽昌河,昌河Q35,2018款 1.5L 手动 炫智版,昌河Q35方向盘按键失灵 胎压监测故障灯亮,车身附件及电器影音系统故障车身附件及电器胎压监测故障,2021-02-06,信息审核
570862,长安福特,福睿斯,2015款 1.5L 手动 舒适型,长安福特福睿斯热车后变速箱出现异响,变速器异响,2021-02-06,厂家受理
570861,华晨宝马,宝马X3,2020款 xDrive28i M运动套装,华晨宝马X3天窗遮阳帘开启后无法关闭,车身附件及电器天窗开关异常,2021-02-06,厂家受理
570859,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6车载网络报警 胎压报警 车漆开裂,车身附件及电器漆面起泡开裂车身附件及电器车载互联故障车身附件及电器胎压监测故障,2021-02-06,处理反馈
570857,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸变速箱故障导致无法加速,变速器无法加速,2021-02-06,信息审核
570854,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚致雅型,一汽大众奥迪A4L大灯进水4S店拒绝索赔,车身附件及电器车灯进水,2021-02-06,信息审核
570853,广汽丰田,凯美瑞,2008款 240G 2.4 自动 豪华版,广汽丰田凯美瑞严重烧机油要求召回,发动机烧机油,2021-02-06,信息审核
570849,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机拉缸行驶中熄火,发动机拉缸,2021-02-06,处理反馈
570848,上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克排气管后段锈蚀严重,车身附件及电器排气管锈蚀,2021-02-06,处理反馈
570846,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动困难要求厂家召回,发动机无法启动,2021-02-06,处理反馈
570840,上汽集团,名爵5,2021款 300TGI DCT 青奢豪享版,上汽名爵5发动机排放系统故障希望处理,发动机故障灯亮发动机排气故障,2021-02-06,用户评分
570838,东风雪铁龙,爱丽舍,2014款 1.6L 手动 时尚型,东风雪铁龙爱丽舍油管卡子断裂失去动力,发动机动力消失车身附件及电器部件开裂车身附件及电器汽油箱漏油,2021-02-06,信息审核
570836,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔天窗和车身异响希望厂家处理,车身附件及电器车身异响车身附件及电器天窗异响,2021-02-06,信息审核
570834,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳倒车时动力不足车灯有白雾,发动机功率不足车身附件及电器车灯不亮,2021-02-06,处理反馈
570832,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L天窗排水管漏水希望厂家处理,车身附件及电器天窗漏水,2021-02-06,处理反馈
570831,一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳后视镜折叠异响车灯有白雾,发动机漏油车身附件及电器车灯不亮车身附件及电器后视镜故障车身附件及电器汽油箱漏油,2021-02-06,信息审核
570829,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版 大六座,奇瑞瑞虎8事故维修售后私自喷漆欺骗消费者,服务态度态度蛮横服务流程不完善未经同意维修,2021-02-06,信息审核
570828,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,前后桥及悬挂系统球笼套漏油,2021-02-06,信息审核
570821,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL天窗开裂漏水经销商不予索赔,车身附件及电器玻璃开裂车身附件及电器天窗漏水服务态度不予索赔,2021-02-06,处理反馈
570820,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间视线,车身附件及电器车灯不亮,2021-02-06,处理反馈
570818,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,发动机故障灯亮,2021-02-06,信息审核
570817,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞发动机机油增多乳化,发动机机油增多发动机机油乳化,2021-02-06,信息审核
570812,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响 车门下沉,车身附件及电器车载互联故障车身附件及电器中控台异响车身附件及电器车门故障,2021-02-06,处理反馈
570811,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧行驶中发动机熄火,发动机熄火,2021-02-06,处理反馈
570810,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响维修后转向沉重,转向系统打方向沉重,2021-02-06,信息审核
570809,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机异响希望处理,发动机异响,2021-02-06,处理反馈
570808,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智享型 7座,SWM斯威X7低速换挡时变速箱有顿挫现象,变速器顿挫,2021-02-06,信息审核
570806,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 领先型 国V,一汽大众宝来发动机与半轴漏油希望处理,发动机漏油前后桥及悬挂系统半轴渗油,2021-02-06,处理反馈
570805,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3车身大面积生锈希望处理,车身附件及电器车身生锈,2021-02-06,处理反馈
570803,东风标致,标致2008,2014款 1.6L 手动 时尚版,东风标致2008质保期内烧机油不解决,发动机烧机油,2021-02-06,厂家受理
570802,长安林肯,冒险家,2021款 2.0T 两驱 尊悦版,林肯冒险家经销商一直提不到车,承诺不兑现提不到车,2021-02-06,信息审核
570799,领克,领克03,2020款 1.5TD DCT 劲版,领克03电瓶亏电导致无法正常使用,车身附件及电器电瓶故障,2021-02-06,信息审核
570797,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 限量版 拖挂版 GW4C20B,长城炮新车发动机异响明显希望处理,发动机异响,2021-02-06,厂家受理
570791,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法换挡无法加速,变速器无法换挡变速器无法加速,2021-02-06,处理反馈
570789,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,发动机无法启动,2021-02-06,处理反馈
570783,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店承诺选装配置未兑现,服务态度态度蛮横服务收费定（订）金纠纷承诺不兑现销售承诺不兑现,2021-02-06,信息审核
570782,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏冬天启动时排气管冒黑烟,发动机排气故障,2021-02-06,处理反馈
570781,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮 喷油嘴渗油,发动机喷油嘴故障轮胎起皮,2021-02-06,处理反馈
570780,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫行驶时变速箱故障报警,变速器故障灯亮,2021-02-06,处理反馈
570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,变速器异响前后桥及悬挂系统底盘异响人员技术查不出原因,2021-02-06,处理反馈
570778,上汽通用别克,君威,2019款 20T 精英型 国V,别克君威发动机变速箱故障灯报警,发动机故障灯亮变速器故障灯亮,2021-02-06,处理反馈
570775,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元故障,变速器电脑板故障,2021-02-06,用户评分
570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,变速器脱挡,2021-02-06,信息审核
570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,车身附件及电器车灯不亮,2021-02-06,处理反馈
570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,发动机抖动发动机功率不足,2021-02-06,信息审核
570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,发动机无法启动,2021-02-06,信息审核
570762,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者变速箱与分动箱连接处漏油,变速器漏油,2021-02-06,处理反馈
570758,东风雪铁龙,凯旋,2006款 2.0L 自动 旗舰型,东风雪铁龙凯旋变速箱三挡锁死 空调不制热,变速器无法换挡车身附件及电器空调问题,2021-02-06,处理反馈
570757,猎豹汽车,猎豹CS10,2015款 2.0T 手动  风尚版,猎豹CS10车辆自燃要求立刻解决问题,车身附件及电器车辆自燃,2021-02-06,信息审核
570755,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙经销商疑似出售问题车,销售欺诈出售问题车,2021-02-06,信息审核
570754,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 5座 国VI,广汽三菱欧蓝德发动机爆震 变速箱拖挡 ,发动机爆震变速器拖挡,2021-02-06,厂家受理
570753,广汽丰田,凯美瑞,2007款 240V 2.4 自动 NAVI 至尊导航版,广汽丰田凯美瑞仪表台开裂影响驾驶安全,车身附件及电器仪表台开裂,2021-02-06,信息审核
570750,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,捷途X90空调出风口调节拨片电镀层脱落,车身附件及电器空调问题服务态度厂家不回复,2021-02-06,处理反馈
570749,上汽大众,凌渡,2017款 230TSI DSG 风尚版,上汽大众凌渡变速箱机电控制单元故障,变速器电脑板故障,2021-02-06,处理反馈
570748,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁钥匙失灵 悬挂异响 车机蓝屏,前后桥及悬挂系统悬挂故障车身附件及电器影音系统故障车身附件及电器车载互联故障车身附件及电器车钥匙故障,2021-02-06,处理反馈
570746,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮 透镜裂痕 雨刮异响,车身附件及电器车灯不亮车身附件及电器雨刮器故障车身附件及电器灯罩裂纹或变形,2021-02-06,处理反馈
570744,一汽-大众,迈腾GTE,2020款 GTE 豪华型,一汽大众迈腾GTE发动机和EPC故障报警,发动机异响发动机故障灯亮车身附件及电器天窗异响服务态度不解决问题人员技术查不出原因,2021-02-06,用户评分
570741,陕汽,德龙,M3000,陕汽德龙变速箱油封漏油厂家客服态度恶劣,发动机漏油服务态度不予索赔服务态度态度蛮横,2021-02-06,信息审核
570737,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动异响希望处理,发动机异响,2021-02-06,处理反馈
570730,上汽大通,上汽大通MAXUS T70,2020款 2.0T 柴油 手动 四驱 舒适版 长厢 高底盘,上汽MAXUST70氧传感器频繁积碳,车身附件及电器传感器故障,2021-02-06,处理反馈
570721,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L起步时变速箱异响,变速器异响,2021-02-06,信息审核
570720,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁变速箱顿挫 车门共振 油箱异响,发动机异响发动机抖动变速器顿挫车身附件及电器汽油箱异响,2021-02-06,处理反馈
570715,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机冷启动异响希望处理,发动机异响,2021-02-06,处理反馈
570714,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L行驶过程中变速箱异响顿挫,变速器异响变速器顿挫,2021-02-06,处理反馈
570711,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联无法使用厂家不处理,车身附件及电器车载互联故障销售欺诈与宣传不符,2021-02-06,处理反馈
570709,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,大众途观L经销商不给维修工单希望处理,服务流程不完善手续不齐,2021-02-06,处理反馈
570707,长安汽车,长安欧尚A600,2016款 1.5L 豪华型 7座,长安欧尚A600漆面起泡车身生锈严重,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2021-02-06,处理反馈
570701,上汽通用别克,别克GL6,2018款 18T 精英型 6座,别克GL6行驶时发动机异响希望得到处理,发动机异响,2021-02-06,处理反馈
570698,一汽红旗,红旗H5,2020款 1.5T DCT 旗韵版,红旗H5后备箱无故弹开影响安全,车身附件及电器后备箱故障,2021-02-06,信息审核
570696,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV电机冷却液过高无配件,配件争议无零配件,2021-02-06,处理反馈
570689,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8变速箱顿挫 发动机抖动 大灯盲区,发动机抖动变速器顿挫前后桥及悬挂系统减震器过硬车身附件及电器车灯不亮,2021-02-05,信息审核
570686,奔驰（进口）,奔驰S级,2020款 S 450 L 4MATIC 臻藏版,进口奔驰S级车机系统失灵 行车电脑报警,车身附件及电器影音系统故障车身附件及电器车载互联故障车身附件及电器行车安全辅助系统故障,2021-02-05,信息审核
570681,东风雪铁龙,C4世嘉,2018款 1.6L 自动 豪华型,东风雪铁龙C4世嘉轮毂氧化腐蚀 车内异味,车身附件及电器车内异味车身附件及电器轮毂问题服务态度不予索赔,2021-02-05,处理反馈
